"Date","Class","MAXLOC","AVGLOC","Index"
"2013-06-28 17:27","TestPerChannelBookieClient.java","6657","-179","5"
"2012-11-30 04:54","LedgerFragment.java","5312","-181","2"
"2014-02-05 22:43","TestPerChannelBookieClient.java","9010","-179","7"
"2012-12-03 15:04","TestMetaStore.java","945","0","2"
"2017-08-01 08:34","BookKeeperDiskSpaceWeightedLedgerPlacementTest.java","8602","0",""
"2017-06-01 23:58","LongZkLedgerIdGenerator.java","2460","0",""
"2017-07-04 06:27","LedgerManagerTestCase.java","114541","4",""
"2017-05-15 19:52","BookieRecoveryTest.java","114888","272",""
"2013-05-31 12:02","TestLedgerUnderreplicationManager.java","9263","266","5"
"2016-10-13 07:50","Node.java","112110","0",""
"2017-05-15 19:52","BenchBookie.java","112991","131",""
"2013-10-12 05:42","TestLedgerUnderreplicationManager.java","10274","266","6"
"2012-12-08 11:42","TestLedgerUnderreplicationManager.java","5830","266","2"
"2012-03-31 10:58","BookieRecoveryTest.java","11840","341","1"
"2012-12-10 16:02","BookieRecoveryTest.java","17210","341","2"
"2017-05-15 19:52","WriteEntryProcessor.java","114187","385",""
"2012-04-03 18:02","BenchBookie.java","9134","0","1"
"2013-10-14 16:43","BenchBookie.java","19589","0","6"
"2013-08-13 14:32","BookieRecoveryTest.java","18965","341","5"
"2015-07-10 22:48","TestLedgerUnderreplicationManager.java","12462","266",""
"2014-02-05 22:43","BenchBookie.java","20163","182","7"
"2016-02-23 19:16","ListLedgersTest.java","6077","0",""
"2014-02-05 22:43","BookieRecoveryTest.java","19635","233","7"
"2017-08-16 03:41","RegionAwareEnsemblePlacementPolicy.java","12047","-343",""
"2017-06-01 23:58","SASLBookieAuthProviderFactory.java","1148","0",""
"2012-07-23 23:39","BKStats.java","13318","0","2"
"2016-11-30 00:19","SystemPropertiesConfigurationTest.java","5579","0",""
"2014-07-24 01:41","TestMetaStore.java","9721","-653",""
"2017-06-01 23:58","ReplicationEnableCb.java","71763","0",""
"2013-04-04 11:21","LedgerManagerTestCase.java","13351","0","5"
"2012-12-24 05:50","LedgerManagerTestCase.java","11231","1","2"
"2012-12-03 17:59","ReadOnlyBookieTest.java","1184","6","2"
"2017-05-16 00:31","ReadLacProcessorV3.java","2479","0",""
