"Class","Index","ChgSetSize"
"PrepRequestProcessor.java","11","6"
"EphemeralTypeTest.java","11","1"
"CommitProcessorTest.java","4","2"
"BitHashSetTest.java","7","27"
"ZooKeeperTest.java","15","2"
"Leader.java","2","0"
"CommitProcessorMetricsTest.java","13","4"
"LeaderBeanTest.java","14","2"
"RemotePeerBean.java","1","1"
"DataTree.java","7","2"
"HierarchicalQuorumTest.java","8","4"
"Login.java","11","0"
"MBeanRegistry.java","11","0"
"MaxCnxnsTest.java","11","16"
"SaslAuthFailDesignatedClientTest.java","14","0"
"AvgMinMaxCounter.java","4","9"
"ZooKeeperSaslClient.java","11","0"
"ReconfigBackupTest.java","4","0"
"QuorumPeerConfig.java","5","0"
"QuorumPeerMainTest.java","9","0"
"SessionTest.java","7","2"
"Leader.java","1","0"
"QuorumPeer.java","7","4"
"CommitProcessor.java","6","2"
"ClientTest.java","4","1"
"AbstractFourLetterCommand.java","11","5"
"LearnerHandler.java","6","0"
"WatcherFuncTest.java","11","13"
"FollowerZooKeeperServer.java","7","9"
"ZooKeeper.java","4","1"
"DisconnectableZooKeeper.java","9","2"
"X509Util.java","16","1"
"ZKTrustManager.java","9","0"
"SaslAuthFailTest.java","16","0"
"ZooKeeperServer.java","2","0"
"ZooKeeperServerTest.java","10","5"
"QuorumPeer.java","6","4"
"Observer.java","18","37"
"Request.java","6","2"
"ServerMetrics.java","10","12"
"QuorumPeerMain.java","4","5"
"WatcherCleaner.java","6","0"
"LearnerTest.java","11","27"
"FollowerZooKeeperServer.java","11","2"
"AsyncCallback.java","15","11"
"FourLetterWordsQuorumTest.java","7","10"
"ServerConfig.java","3","1"
"AsyncHammerTest.java","6","0"
"FastLeaderElection.java","4","4"
"LearnerHandler.java","11","12"
"ZooKeeperMain.java","4","2"
"QuorumPeer.java","11","1"
"PemReaderTest.java","17","18"
"QuorumPeer.java","11","1"
"Learner.java","2","8"
"NIOServerCnxn.java","9","7"
"ZooInspectorTreeViewer.java","8","5"
"X509Util.java","4","2"
"FileChangeWatcher.java","2","16"
"ClientCnxnSocket.java","9","8"
"ClientCnxn.java","8","3"
"FLEZeroWeightTest.java","1","16"
"SyncRequestProcessor.java","6","2"
"FourLetterWordsQuorumTest.java","6","7"
"ZooKeeper.java","6","0"
"NettyServerCnxnFactory.java","11","1"
"QuorumPeerTestBase.java","4","0"
"X509Util.java","11","1"
"ZooKeeperTest.java","11","1"
"ServerCnxnFactory.java","11","2"
"DelQuotaCommand.java","16","18"
"Leader.java","4","0"
"BaseSysTest.java","6","3"
"QuorumPeerConfig.java","3","0"
"ZooKeeper.java","2","0"
"ZooKeeper.java","3","9"
"FastLeaderElection.java","4","8"
"ClientCnxn.java","2","1"
"ToStringTest.java","2","1"
"Watcher.java","2","0"
"FileTxnSnapLog.java","2","2"
"AsyncOps.java","4","0"
"InvalidSnapshotTest.java","2","0"
"FileTxnLog.java","2","2"
"ZooKeeper.java","5","0"
"FLEZeroWeightTest.java","5","0"
"TestableZooKeeper.java","11","0"
"FinalRequestProcessor.java","4","4"
"ClientBase.java","11","21"
"NIOServerCnxn.java","2","11"
"ZooKeeperTest.java","4","1"
"HierarchicalQuorumTest.java","5","3"
"ManagedUtil.java","2","0"
"ExportJvmInfoTest.java","11","2"
"QuorumPeerConfig.java","5","2"
"FileTxnLog.java","2","0"
"BufferSizeTest.java","3","0"
"ServerMetricsTest.java","6","23"
"WorkerService.java","11","0"
"QuorumTest.java","5","0"
"SessionTest.java","5","4"
"CnxManagerTest.java","5","1"
"FLELostMessageTest.java","5","1"
"ZooKeeper.java","7","0"
"QuorumPeer.java","2","0"
"ZooKeeperQuotaTest.java","5","1"
"AsyncOps.java","2","8"
"Shell.java","9","14"
"QuorumCnxManager.java","9","0"
"ZooKeeperServer.java","10","2"
"EmptySnapshotTest.java","11","1"
"ReconfigTest.java","7","0"
"LsCommand.java","8","2"
"QuorumServerTest.java","11","0"
"FileTxnLog.java","8","4"
"ZooKeeper.java","6","1"
"ReconfigRollingRestartCompatibilityTest.java","16","6"
"LearnerHandler.java","17","2"
"JettyAdminServerTest.java","6","0"
"PrepRequestProcessor.java","7","1"
"QuorumPeer.java","6","0"
"ACLTest.java","1","1"
