"Date","Class","MAXLOC","AVGLOC","Index"
"2010-03-31 06:26","ToStringTest.java","87872","0","8"
"2019-08-17 17:13","OSMXBean.java","256464","-12",""
"2019-10-10 14:37","ZKTrustManager.java","116649","-53",""
"2011-09-01 19:15","MBeanRegistry.java","101040","-1","11"
"2019-08-27 09:23","ZNodeNameTest.java","266263","19",""
"2009-07-17 00:09","InvalidSnapshotTest.java","60997","0","5"
"2009-04-17 20:11","InvalidSnapshotTest.java","52147","0","4"
"2010-03-04 00:07","InvalidSnapshotTest.java","83010","0","7"
"2011-09-17 02:13","StaticHostProviderTest.java","18182","0","11"
"2012-01-16 03:19","StaticHostProviderTest.java","21571","-16","15"
"2019-11-22 23:42","ZKClientConfig.java","261962","0",""
"2012-11-17 15:03","StaticHostProviderTest.java","31872","-16","19"
"2013-10-09 22:21","QuorumUtil.java","270001","3",""
"2010-08-18 08:24","InvalidSnapshotTest.java","110826","0","9"
"2010-03-31 06:26","InvalidSnapshotTest.java","90832","0","8"
"2017-09-11 18:55","ZooInspectorPanel.java","16474","0",""
"2017-09-11 18:55","JsonGenerator.java","99601","0",""
"2019-08-17 17:13","AsyncOps.java","257842","-10",""
"2014-07-19 06:39","Toolbar.java","49589","0",""
"2019-09-18 11:20","TimeTest.java","259016","8",""
"2019-10-10 14:37","SaslClientCallbackHandler.java","258833","-8",""
"2019-08-17 17:13","BitMapTest.java","174218","0",""
"2019-12-27 22:33","FollowerZooKeeperServer.java","266841","5",""
"2009-10-31 00:09","ClientHammerTest.java","3588","0","6"
"2009-01-16 00:48","LearnerHandler.java","39341","-5","2"
"2009-02-20 01:23","LearnerHandler.java","53712","-17","3"
"2011-04-12 09:14","NumEvents.java","14937","0","11"
"2009-11-18 20:06","LearnerHandler.java","107834","-24","6"
"2017-09-11 18:55","FatJarMain.java","166558","0",""
"2010-03-11 15:05","LearnerHandler.java","121407","7","7"
"2009-06-15 22:52","LearnerHandler.java","92998","-8","4"
"2009-08-25 07:45","LearnerHandler.java","95557","7","5"
"2010-11-04 17:01","LearnerHandler.java","172433","16","9"
"2019-08-17 17:13","TxnLogProposalIterator.java","266401","3",""
"2019-08-17 17:13","KeyAuthClientTest.java","259045","-17",""
"2019-04-22 19:15","LearnerHandler.java","261595","0",""
"2019-08-17 17:13","TestHammer.java","256104","0",""
"2011-04-12 09:14","ProviderRegistry.java","121343","0","11"
"2019-08-17 17:13","FileKeyStoreLoader.java","68806","0",""
"2019-08-17 17:13","ClientCnxnLimitException.java","53344","0",""
"2010-01-25 04:28","AsyncOps.java","111102","-11","7"
"2009-10-31 00:09","AsyncOps.java","98446","-11","6"
"2019-08-17 17:13","FLETestUtils.java","256464","-16",""
"2019-08-17 17:13","SaslClientTest.java","256369","-7",""
"2010-08-18 08:24","FollowerZooKeeperServer.java","152416","4","9"
"2008-12-22 23:23","AsyncOps.java","36054","38","2"
"2009-05-20 22:16","FollowerZooKeeperServer.java","91357","1","4"
"2019-08-17 17:13","SaslAuthDesignatedClientTest.java","256650","26",""
"2019-10-10 14:37","ClientHammerTest.java","261237","0",""
"2010-07-05 21:57","JsonGenerator.java","479","0","9"
"2020-05-05 21:20","ObserverMasterTest.java","89888","-4",""
"2009-12-18 03:19","FollowerZooKeeperServer.java","118843","16","7"
"2009-10-30 17:19","FollowerZooKeeperServer.java","108611","6","6"
"2010-03-31 06:26","AsyncOps.java","121721","-10","8"
"2009-01-15 23:57","FollowerZooKeeperServer.java","62154","2","2"
"2019-08-17 17:13","BufferStats.java","254847","0",""
"2010-03-31 06:26","SessionTest.java","122885","24","8"
"2010-08-05 09:09","SessionTest.java","172858","24","9"
"2010-03-31 06:26","SerializationPerfTest.java","122885","-23","8"
"2011-08-19 00:05","Watcher.java","107608","0","11"
"2015-07-10 08:19","FourLetterWordsTest.java","260940","-1",""
"2017-09-11 18:55","MeasureThroughput.java","99601","20",""
"2019-10-10 14:37","ClientPortBindTest.java","260768","0",""
"2009-01-15 23:57","SessionTest.java","40206","38","2"
"2018-12-15 07:34","FourLetterWordMain.java","256656","-11",""
"2019-08-17 17:13","QuorumUtilTest.java","256154","0",""
"2011-09-17 02:13","SledgeHammer.java","108227","32","11"
"2019-07-29 17:15","TestReader.java","38161","0",""
"2009-09-16 02:09","SessionTest.java","96902","5","6"
"2010-03-12 19:26","SessionTest.java","122258","24","7"
"2009-09-16 02:09","SerializationPerfTest.java","96902","0","6"
"2015-07-07 07:11","VerifyingFileFactoryTest.java","256742","-5",""
"2009-06-30 03:32","SessionTest.java","93763","38","4"
"2009-07-17 00:09","SerializationPerfTest.java","94241","0","5"
"2009-08-07 01:23","SessionTest.java","95101","42","5"
"2012-02-06 09:40","FileTxnSnapLog.java","127029","-22","15"
"2019-04-12 19:01","WatcherCleaner.java","178973","-20",""
"2012-03-06 09:20","FileTxnSnapLog.java","127521","15","16"
"2012-07-17 23:25","FileTxnSnapLog.java","130983","-22","17"
"2019-01-31 15:55","GetCommand.java","256502","0",""
"2011-04-12 09:14","FileTxnSnapLog.java","124302","23","11"
"2011-12-21 21:39","FileTxnSnapLog.java","126147","27","14"
"2019-08-17 17:13","Login.java","264314","4",""
"2018-10-16 16:22","QuorumPeerMainTest.java","268068","-1",""
"2019-08-17 17:13","EnsembleAuthenticationProvider.java","50898","23",""
"2020-01-22 11:08","KerberosTestUtils.java","265294","3",""
"2019-09-18 16:03","X509UtilTest.java","115497","-33",""
"2011-04-12 09:14","SyncRequestProcessor.java","134347","6","11"
"2019-08-17 17:13","TraceMaskCommand.java","255967","0",""
"2019-11-29 14:49","ReadOnlyZooKeeperServer.java","264561","-16",""
"2010-03-31 06:26","QuorumPeerMainTest.java","77194","-33","8"
